JSON OK · foods count: 100
--------------------------------------------------------------------------------------------------------------
  pechuga-pollo                | kcal calc  156.4 vs  165.0 (diff  8.6) PASS | 🍗 | proteinas    | conf:high
  lomo-cerdo-magro             | kcal calc  134.6 vs  143.0 (diff  8.4) PASS | 🥩 | proteinas    | conf:high
  carne-res-lomo               | kcal calc  139.3 vs  141.0 (diff  1.7) PASS | 🥩 | proteinas    | conf:high
  carne-res-sobrebarriga       | kcal calc  169.0 vs  169.0 (diff  0.0) PASS | 🥩 | proteinas    | conf:moderate [NEEDS_VAL]
  tilapia                      | kcal calc   95.3 vs   96.0 (diff  0.7) PASS | 🐟 | proteinas    | conf:high
  basa-pescado                 | kcal calc   87.0 vs   90.0 (diff  3.0) PASS | 🐟 | proteinas    | conf:moderate [NEEDS_VAL]
  atun-agua-lata               | kcal calc  111.2 vs  116.0 (diff  4.8) PASS | 🐟 | proteinas    | conf:high
  huevo-entero                 | kcal calc  138.7 vs  143.0 (diff  4.3) PASS | 🥚 | proteinas    | conf:high
  clara-huevo                  | kcal calc   48.2 vs   52.0 (diff  3.8) PASS | 🥚 | proteinas    | conf:high
  pollo-muslo-sin-piel         | kcal calc  113.9 vs  119.0 (diff  5.1) PASS | 🍗 | proteinas    | conf:high
  carne-res-molida-magra       | kcal calc  130.6 vs  137.0 (diff  6.4) PASS | 🥩 | proteinas    | conf:high
  salmon-fresco                | kcal calc  202.2 vs  208.0 (diff  5.8) PASS | 🐟 | proteinas    | conf:high
  pavo-pechuga                 | kcal calc  103.8 vs  111.0 (diff  7.2) PASS | 🦃 | proteinas    | conf:high
  sardinas-agua-lata           | kcal calc  201.9 vs  208.0 (diff  6.1) PASS | 🐟 | proteinas    | conf:high
  yogur-griego-natural         | kcal calc   94.6 vs   97.0 (diff  2.4) PASS | 🥛 | proteinas    | conf:moderate [NEEDS_VAL]
  queso-campesino              | kcal calc  144.0 vs  144.0 (diff  0.0) PASS | 🧀 | proteinas    | conf:moderate [NEEDS_VAL]
  queso-cottage                | kcal calc   78.3 vs   84.0 (diff  5.7) PASS | 🧀 | proteinas    | conf:high
  leche-descremada             | kcal calc   35.4 vs   34.0 (diff  1.4) PASS | 🥛 | proteinas    | conf:high
  kumis-natural                | kcal calc   39.8 vs   42.0 (diff  2.2) PASS | 🥛 | proteinas    | conf:moderate [NEEDS_VAL]
  leche-deslactosada           | kcal calc   59.0 vs   55.0 (diff  4.0) PASS | 🥛 | proteinas    | conf:high
  whey-concentrada             | kcal calc  365.0 vs  365.0 (diff  0.0) PASS | 🧪 | proteinas    | conf:high
  whey-isolada                 | kcal calc  373.0 vs  376.0 (diff  3.0) PASS | 🧪 | proteinas    | conf:high
  proteina-vegetal             | kcal calc  355.0 vs  355.0 (diff  0.0) PASS | 🧪 | proteinas    | conf:moderate [NEEDS_VAL]
  arroz-blanco                 | kcal calc  354.3 vs  365.0 (diff 10.7) PASS | 🍚 | carbohidratos | conf:high
  arroz-integral               | kcal calc  362.3 vs  370.0 (diff  7.7) PASS | 🍚 | carbohidratos | conf:high
  avena-hojuelas               | kcal calc  383.0 vs  389.0 (diff  6.0) PASS | 🥣 | carbohidratos | conf:high
  pasta-integral               | kcal calc  358.5 vs  357.0 (diff  1.5) PASS | 🍝 | carbohidratos | conf:high
  pan-integral                 | kcal calc  260.0 vs  252.0 (diff  8.0) PASS | 🍞 | carbohidratos | conf:moderate [NEEDS_VAL]
  tostada-integral             | kcal calc  397.0 vs  388.0 (diff  9.0) PASS | 🍞 | carbohidratos | conf:high
